"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B"
"ERP44" 0.31215166719241 6.37446666584488 4.59126705339412 6.68783078676312e-05 0.00556374827551904 1.58751343145309
"PPP1R3B" 0.682103829758465 4.23332185649143 4.55710790990473 7.37517540764135e-05 0.0058558692224967 1.57939690724431
"USP53" -0.782901457672352 3.03731962269172 -4.54623584576021 7.60827913252424e-05 0.00594151175700171 1.56834016103554
"CTSA" 0.614654068393574 7.99151927619194 4.57784359002276 6.9500214296465e-05 0.00569129532627719 1.55812882626242
"MRPL51" 0.495203214220571 4.3061974678761 4.54745705483976 7.58173627460009e-05 0.00594151175700171 1.54985700719605
"ITPKB" -0.489972643866468 7.03602541176779 -4.56462009319528 7.21825438944264e-05 0.00582011656547258 1.51389564532615
"CLEC2D" -0.571890304508197 6.67456798992746 -4.56282718891852 7.25540311333505e-05 0.00582011656547258 1.51008437412623
"NDUFA1" 0.256631241929671 5.73274150427268 4.55596744008421 7.39929201282233e-05 0.0058558692224967 1.5041225156321
"SLC27A5" -0.67737495089177 1.08628028039727 -4.6238543375505 6.09139522402895e-05 0.00540073176554506 1.48538198248654
"TMEM120A" 0.477096091925189 4.73466062425545 4.52311190123019 8.12859464397839e-05 0.00610524764597409 1.45993546352552
"DENND3" 0.476990322595644 8.05138736884012 4.541098190259 7.72095668511153e-05 0.00595068766214609 1.45831147997916
"PTPN1" 0.35832410855325 7.35522438028179 4.54283424793657 7.6826984213443e-05 0.00595068766214609 1.45588957235362
"GSTO1" 0.546765066225044 5.93198616796658 4.53401333730286 7.87905341200714e-05 0.00603310375547975 1.4383678498426
"ZSCAN30" -0.572131707966516 3.53304866430187 -4.49061346755847 8.91984594189013e-05 0.0064458213990203 1.43577451426302
"TSPAN14" 0.359758750407671 8.2413721936762 4.5278193668723 8.01989239013877e-05 0.00610132716545267 1.4243250821929
"TMEM59" 0.288725209810219 6.657039297577 4.52482476352167 8.08887445863316e-05 0.00610524764597409 1.40434549963771
"MGA" -0.326626574091314 6.20712510346587 -4.51998451355767 8.20161526926989e-05 0.00612110425666016 1.39717466903465
"HBB" 4.12860060959112 4.34669565869611 4.4721692579792 9.4023136941703e-05 0.0065604782888554 1.37488737619404
"ACSL1" 0.974190148239478 8.27406367907785 4.50749198066451 8.49983083352855e-05 0.00620512323352926 1.37089962025386
"SYNJ2BP" -0.489512941615359 4.06472493760221 -4.46932378375209 9.47900877061044e-05 0.00657508655429637 1.36265933408869
"VCP" 0.27338144166357 7.96412279296022 4.50647078048739 8.52467744090689e-05 0.00620512323352926 1.36256637965403
"LYRM7" -0.470415415602516 3.30267994460265 -4.46134619172735 9.6973445673805e-05 0.00664831901968319 1.35990565381971
"PSME2" 0.496105732631364 7.24978731404928 4.50761602215507 8.49681768955633e-05 0.00620512323352926 1.35927872299262
"PDIA6" 0.369034443722143 6.8616269217205 4.50797978973038 8.48798735018303e-05 0.00620512323352926 1.35836219539686
"SLC25A25.AS1" -0.473436821665618 5.32159203249601 -4.48673049617776 9.01933964415153e-05 0.0064458213990203 1.33911082892289
"PGAM1" 0.410813602278521 6.08895265046619 4.48757432735446 8.99762517730545e-05 0.0064458213990203 1.30846184169686
"SFMBT1" -0.547347578153243 3.8716509622815 -4.44056700774255 0.000102896518776559 0.00681779478127113 1.29591240000809
"ARF4" 0.329801162347409 5.61540083847455 4.47657859202779 9.28467758698373e-05 0.00654655291989234 1.29203014279411
"CEBPB" 0.773937478500066 8.74841032692491 4.47527036158075 9.31942706888238e-05 0.00654655291989234 1.2896703358352
"ZNF182" -0.458609824192302 3.35342962064644 -4.42960081326041 0.000106165101351838 0.00685299405686468 1.27780545643579
"SNHG1" -0.612089254070536 6.64671336423903 -4.4749919337989 9.32683930242463e-05 0.00654655291989234 1.27093952309447
"TNRC6C" -0.68899482004892 5.94318106776314 -4.46566583023562 9.5785120309286e-05 0.00660525227302398 1.25990498909688
"ANKS3" -0.406250957867393 3.7982005699855 -4.41996020503862 0.000109123163946864 0.00685391792802598 1.2429923258429
"CD63" 0.739552233323638 7.85300396279828 4.45387661834196 9.90627936560951e-05 0.00675230325313684 1.21906919577718
"PSME1" 0.278339564350458 7.80096558449047 4.4460854689287 0.000101289496739636 0.00681779478127113 1.1964897489664
"TRIM4" -0.319359546274307 4.62242298313967 -4.4194816681381 0.000109272097224295 0.00685391792802598 1.19546608871549
"CILK1" -0.483499278928799 3.97364492949791 -4.4038265078547 0.000114256674153409 0.0070426667589258 1.19420621347517
"GAPDH" 0.423606341691679 10.5844940486173 4.42967866593532 0.000106141538907264 0.00685299405686468 1.19399058493741
"ANKZF1" -0.442322127789055 6.24206989455734 -4.44488662953995 0.000101636486647762 0.00681779478127113 1.19316675331051
"HDLBP" 0.324436516372764 7.88425278493213 4.43919109293639 0.000103301104518014 0.00681779478127113 1.17875829435468
"SLC16A3" 0.653356648009274 6.76217519353864 4.44133174055481 0.000102672327548147 0.00681779478127113 1.17730430879146
"HSD17B10" 0.31697389172921 5.03396113498505 4.4232813195435 0.000108095055510247 0.00685299405686468 1.17459680849631
"ZBTB14" -0.42263114218277 4.82401781329263 -4.41562378600546 0.000110480127825145 0.00689302469478367 1.1744559252417
"PSMB3" 0.406604995225388 6.04384647183293 4.4365880969483 0.000104070815860652 0.00681779478127113 1.17072063630703
"TK1" 1.2363431321662 2.26302637730054 4.400224750962 0.00011543486536378 0.0070426667589258 1.16449742044007
"PRRT3" -0.439557089596771 2.4196709895414 -4.3971815205182 0.000116439697271408 0.0070426667589258 1.15373473370465
"RIMKLB" -0.567563994552705 3.70304423099071 -4.37896251348966 0.000122638491077833 0.0071986378007136 1.14049832754614
"PSMA7" 0.22269063610903 7.01209583006542 4.4272572211958 0.000106876823536288 0.00685299405686468 1.13895619054865
"MYOF" 0.795382082551512 6.19649322329879 4.42556554265924 0.000107393493993287 0.00685299405686468 1.13879391858584
"PRDX1" 0.512307953737328 5.96936578540072 4.42336249796035 0.000108070045489656 0.00685299405686468 1.13651957213269
"PRKCH.AS1" -0.99541851098219 1.64322533529048 -4.43778077130127 0.000103717438746643 0.00681779478127113 1.13640917997713
"ZNF75A" -0.401369630646189 4.13140374806404 -4.38468248204329 0.000120658057795535 0.00714974782675851 1.13415397673402
"TNNT1" 1.81582196412322 3.47329186756294 4.36730985523116 0.000126772782899351 0.00736406234457709 1.11182982130281
"ZNF263" -0.324143163574861 5.13902202611815 -4.3958862674547 0.000116869987032147 0.0070426667589258 1.10095290727461
"ZNF550" -0.633961781565532 3.33853272620409 -4.35867188198221 0.00012992595475407 0.0074013857896618 1.09453752993055
"SGF29" -0.304071924604685 4.37060812631139 -4.37328766397343 0.000124634998120995 0.00727572226654838 1.08741759735953
"COTL1" 0.491900416707702 10.4160457214522 4.38946926137768 0.000119025012138052 0.00712333947422955 1.08320673623669
"TM9SF2" 0.365704051818187 6.73001195430616 4.4050304288021 0.000113865506687871 0.0070426667589258 1.07823772132513
"UQCRC1" 0.288020963546177 6.55510706933721 4.40104113859104 0.000115166765232837 0.0070426667589258 1.06792169903227
"PPIE" -0.772264704427862 5.0546235326267 -4.37877471638464 0.000122704053421255 0.0071986378007136 1.06722451502131
"SHCBP1" 1.00028190384889 2.29289124544494 4.35932416116323 0.000129685172367782 0.0074013857896618 1.06397762824236
"USB1" 0.450761429883113 6.30505212903898 4.39531803831889 0.000117059250741982 0.0070426667589258 1.05453746371351
"ATP6V1B2" 0.467628689242545 7.09603312347244 4.38775209271027 0.000119608312067287 0.00712333947422955 1.03244233170953
"RAB33B" -0.4072981602439 3.4104404967807 -4.33095867586295 0.000140573740847507 0.00775892026782306 1.02187179931157
"DIP2C" -1.02377713632019 1.85652358266274 -4.36376921693321 0.000128056006224669 0.0074013857896618 0.991574643484605
"SLC4A1" 4.3606335135002 5.38402776219069 4.34029014685778 0.000136895716049162 0.00770673842144278 0.98228776817944
"ZNF44" -0.372807427562914 4.72388680280115 -4.33938863330716 0.000137246868088788 0.00770673842144278 0.975066966190965
"CD53" 0.343072101139754 8.32635840079195 4.36175599148767 0.000128791360365486 0.0074013857896618 0.974762831962434
"SLC8A1" 0.745661373670399 5.41801743194044 4.35082351337374 0.000132857910726843 0.00753202155428335 0.959217893205685
"SQOR" 0.518963047022903 4.56928779337795 4.33037231075079 0.000140808084914699 0.00775892026782306 0.952309240761065
"C1GALT1C1" 0.679037677443513 2.64429126652319 4.2955044457023 0.000155457940515697 0.00821145323206249 0.924293169024325
"CDK5" 0.561182944781581 3.38721752573766 4.2932331149397 0.000156462727562527 0.00821145323206249 0.921173698712945
"FLOT1" 0.371317726790912 7.33256571732279 4.3374729722824 0.000137995996693268 0.00771207958771097 0.897707626760317
"ZNF671" -0.637551902642489 2.78448026832727 -4.28475895446692 0.000160268301908065 0.00825999789640721 0.895224264064341
"FOXP1" -0.391438029294038 6.42773464369851 -4.33468873647228 0.000139091980393515 0.00773666336226568 0.89110347755178
"WHAMMP2" -0.636284569460391 3.33780525297817 -4.27458511774135 0.000164957771125099 0.00834842076011661 0.878109263329259
"NDUFS6" 0.273642157047476 5.32148734628177 4.31011905253237 0.000149143157142112 0.00806741334412746 0.855250914861271
"CIAO2A" 0.3779783376437 4.69099659212048 4.29480207873778 0.000155767971289955 0.00821145323206249 0.850013058692051
"ANXA5" 0.382139209853833 8.05962111943336 4.31588588752104 0.000146721550052819 0.00804716520103649 0.847213690228783
"TMC8" -0.455882399359398 8.83833633287841 -4.30436333332887 0.000151599368611904 0.00812572615759807 0.826439206435706
"KAT7" -0.232588120732024 6.95329994219499 -4.3109102043182 0.000148808619880318 0.00806741334412746 0.823772827662057
"CR1" 1.06489825333615 6.12801729160418 4.30454200617948 0.000151522525072767 0.00812572615759807 0.813647308338038
